t,x,y,x_ref,y_ref,target_x,target_y,vx_ref,vy_ref,support,left_foot_x,left_foot_y,left_foot_z,left_knee_x,left_knee_y,left_knee_z,right_foot_x,right_foot_y,right_foot_z,right_knee_x,right_knee_y,right_knee_z,apple_x,apple_y,apple_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,apple_caught,wbc_control,arm_error_x,arm_error_y,arm_error_z,arm_force_x,arm_force_y,arm_force_z
0.25,0.006343145410809875,0.00039441407726289936,0.021800793824972606,0.001308047629498356,2.5,0.15,0.15571995589266147,0.009343197353559684,right_stance,0.095148244975524,-0.16811428431389555,0.10476331148798364,-0.043563392517269976,-0.1548932695048567,0.38803695510968056,0.07982902294285091,0.14470078494451147,0.0702564453252019,0.019502382136431407,0.1305647566718514,0.38161207020036647,2.35,-0.18,2.15,0.05270213721474759,-0.22999347513030222,0.7148033896111777,-0.15193637296533152,0.23290111887879764,0.644537545145365,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.26,0.007160870848390021,0.00044370157507896135,0.02344783181999114,0.001406869909199468,2.5,0.15,0.16170918496545614,0.009702551097927364,right_stance,0.09208345632423301,-0.16912062423483606,0.10583951150688603,-0.04692588600754873,-0.15561860857805265,0.38888503742909125,0.08591064836406576,0.1450640400116685,0.07096115649628766,0.022967754140252532,0.13077290296364194,0.38178798602497993,2.35,-0.18,2.15,0.05474867576294713,-0.22984851428072345,0.7149272648088196,-0.15236536118853117,0.23275934360436384,0.6448337496199624,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.27,0.008023573057915175,0.0004956506362209442,0.02515476210573762,0.0015092857263442568,2.5,0.15,0.1676984140382508,0.010061904842295044,right_stance,0.08892751562215276,-0.17011296941734605,0.10682928245859709,-0.05014680063462295,-0.15629075994589015,0.38976455650916997,0.09210165425635547,0.1454341295556891,0.0717170883230667,0.026528325188641406,0.13098672415511575,0.3819889150415335,2.35,-0.18,2.15,0.05665733144671921,-0.229714415761777,0.7150360728387435,-0.15256358459260183,0.23264782635509595,0.6450878764403513,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.28,0.008931366444764645,0.0005502674734322707,0.02692158468221205,0.0016152950809327224,2.5,0.15,0.17368764311104548,0.010421258586662725,right_stance,0.08567733480245437,-0.17108839839695414,0.10772154220017931,-0.053219458894958944,-0.156907023776993,0.3906700288702183,0.09840120164693851,0.14581100801645475,0.07252583439496232,0.0301839414950164,0.1312062103674986,0.38221609639412246,2.35,-0.18,2.15,0.05842588359384949,-0.22959170217594618,0.7151279401941009,-0.15252869215579312,0.2325673425612758,0.64529839019212,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.29,0.009884360471737214,0.0006075581257546047,0.028748299549414425,0.001724897972964865,2.5,0.15,0.17967687218384015,0.010780612331030405,right_stance,0.08232932707333572,-0.17204320016644542,0.10850582612180469,-0.05613765087694131,-0.15746477612763823,0.3915958091738765,0.10480848780862376,0.14619463110766004,0.073389011735725,0.03393442203933918,0.13143135021086194,0.38247079013529256,2.35,-0.18,2.15,0.06005252775138692,-0.22948080691476988,0.7152013031233693,-0.15225874011343182,0.23251853609906273,0.6454640149230336,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.3,0.010882659736627765,0.0006675284659141247,0.030634906707344745,0.0018380944024406843,2.5,0.15,0.18566610125663482,0.011139966075398085,right_stance,0.07887939794207774,-0.17297291256892203,0.10917244835442322,-0.05889564483095932,-0.15796148629742363,0.3925361429419686,0.11132274569091538,0.14658495576264624,0.07430826330103582,0.03777955769881009,0.13166213073469626,0.3827542768588834,2.35,-0.18,2.15,0.06153587556996695,-0.22938207068573477,0.7152549239652318,-0.15175219229680828,0.23250191505712142,0.6455837442356799,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.31,0.01192636408236121,0.0007301842090475478,0.032581406156003016,0.0019548843693601805,2.5,0.15,0.1916553303294295,0.011499319819765765,right_stance,0.0753229461886311,-0.17387237173636436,0.10971266411351506,-0.061488194571754265,-0.1583947343454117,0.39348521989532537,0.11794324311236414,0.14698194007041077,0.07528526049728373,0.04171911039843532,0.1318985373790632,0.383067857306977,2.35,-0.18,2.15,0.0628749546340688,-0.22929573877325765,0.715287904045315,-0.15100792027341847,0.2325178484070564,0.6456568492483425,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.32,0.013015568739997228,0.0007955309227709018,0.03458779789538923,0.002075267873723353,2.5,0.15,0.19764455940222417,0.011858673564133445,right_stance,0.07165487539884463,-0.17473577150416156,0.11011883165571534,-0.06391054399727407,-0.15876222863717768,0.394437227378307,0.12466928171186561,0.14738554320176944,0.07632170570631389,0.045752812282363865,0.13214055392636412,0.3834128519499582,2.35,-0.18,2.15,0.06406920833289721,-0.22922195905305173,0.7152996930232054,-0.15002520334286806,0.23256656359936947,0.6456828843607351,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.33,0.014150364504818862,0.0008635740385925805,0.036654081925503394,0.002199244915530203,2.5,0.15,0.20363378847501884,0.012218027308501125,right_stance,0.06786961661853237,-0.17555673183146595,0.11038457225254987,-0.06615842904570171,-0.15906182329052915,0.39538640334664565,0.13150019565734414,0.1477957253256607,0.07741933480114298,0.049880364906828706,0.1323881624537644,0.38379060053868164,2.35,-0.18,2.15,0.0651184958416055,-0.22916078077372987,0.7152900946093194,-0.14880372842832001,0.23264814510052648,0.6456616907788629,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.34,0.015330837945619947,0.0009343188646707898,0.038780258246345505,0.0023268154947807293,2.5,0.15,0.2096230175478135,0.012577381052868805,right_stance,0.06396116263445806,-0.17632837539320606,0.11050492650291346,-0.06822807744052323,-0.15929153538594057,0.39632708841122477,0.13843535011097827,0.14821244751559104,0.07857991963792896,0.05410143845546757,0.13264134328631288,0.3842024616277388,2.35,-0.18,2.15,0.066023092255938,-0.22911215411407118,0.715259268602627,-0.14734358988810414,0.232762533880595,0.6455933977711446,False,impedance-mpc,nan,nan,nan,nan,nan,nan
